pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20191224.190616.05-P-CM.CLEJA.10.HN,2019-12-24 19:06:16.050000,0.38,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:06:16.010000,2019-12-24 19:06:19.640000,0.22,10.5,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.190618.93-S-CM.CLEJA.10.HN,2019-12-24 19:06:18.930000,0.16,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:06:16.010000,2019-12-24 19:06:19.640000,0.22,7.4,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.190732.36-P-CM.CLEJA.10.HN,2019-12-24 19:07:32.360000,0.8,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:07:32.260000,2019-12-24 19:07:36.670000,0.48,13.9,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.190735.51-S-CM.CLEJA.10.HN,2019-12-24 19:07:35.510000,0.45,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:07:32.260000,2019-12-24 19:07:36.670000,0.48,3.4,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.190751.56-P-CM.CLEJA.10.HN,2019-12-24 19:07:51.560000,0.85,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:07:51.390000,2019-12-24 19:07:55.500000,0.68,13.9,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.190753.91-S-CM.CLEJA.10.HN,2019-12-24 19:07:53.910000,0.51,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:07:51.390000,2019-12-24 19:07:55.500000,0.68,3.4,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.190901.52-P-CM.CLEJA.10.HN,2019-12-24 19:09:01.520000,0.78,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:09:01.490000,2019-12-24 19:09:05.610000,0.95,12.4,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.190903.42-P-CM.URMC.00.HH,2019-12-24 19:09:03.428393,0.82,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:09:03.368393,2019-12-24 19:09:09.018393,0.92,12.8,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.190904.40-S-CM.CLEJA.10.HN,2019-12-24 19:09:04.400000,0.78,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:09:01.490000,2019-12-24 19:09:05.610000,0.95,3.5,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.190907.30-S-CM.URMC.00.HH,2019-12-24 19:09:07.308393,0.63,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:09:03.368393,2019-12-24 19:09:09.018393,0.92,8.5,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
20191224.190911.97-P-CM.PRA.00.HH,2019-12-24 19:09:11.978393,0.77,P,CM,PRA,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:09:11.848393,2019-12-24 19:09:24.008393,0.7,5.5,3.713833,-74.886167,457.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/PRA/CM.PRA.00.HHN__20191224T190000Z__20191224T210000Z.mseed
20191224.190913.49-P-CM.CLEJA.10.HN,2019-12-24 19:09:13.490000,0.14,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:09:13.360000,2019-12-24 19:09:17.830000,0.3,12.4,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.190916.30-S-CM.CLEJA.10.HN,2019-12-24 19:09:16.300000,0.2,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:09:13.360000,2019-12-24 19:09:17.830000,0.3,3.5,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed
20191224.190919.00-P-CM.ORTC.00.HH,2019-12-24 19:09:19.008393,0.3,P,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:09:18.738393,2019-12-24 19:09:41.248393,0.58,0.6,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed
20191224.190919.66-P-CM.URMC.00.HH,2019-12-24 19:09:19.668393,0.25,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:09:19.328393,2019-12-24 19:09:23.988393,0.75,12.8,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed
