pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,mseed_start_time,mseed_end_time,sampling_rate,sample,segment,segment_type,id,event_idx,prob_gamma
20191224.222813.52-S-CM.URMC.00.HH,2019-12-24 22:28:13.528393,0.558131,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:18:16.788409,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_1248000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2853,1248000,overlap,CM.URMC.00.HH,46,0.00011716417973286477
20191224.222825.15-P-CM.ORTC.00.HH,2019-12-24 22:28:25.158393,0.91811806,P,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:01.113686,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_528000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2516,528000,single,CM.ORTC.00.HH,46,0.00021577998186249594
20191224.222827.10-P-CM.CHI.00.HH,2019-12-24 22:28:27.108393,0.32536936,P,CM,CHI,0,HH,PhaseNet,2023-01-18 15:20:01.469670,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed_1251000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1211,1251000,overlap,CM.CHI.00.HH,46,0.0001537969489727168
20191224.222845.12-S-CM.ORTC.00.HH,2019-12-24 22:28:45.128393,0.64560956,S,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:40.948667,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_531000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1513,531000,single,CM.ORTC.00.HH,46,0.00018977274686674157
20191224.222845.96-S-CM.CHI.00.HH,2019-12-24 22:28:45.968393,0.65230995,S,CM,CHI,0,HH,PhaseNet,2023-01-18 15:20:01.397012,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed_1254000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,97,1254000,overlap,CM.CHI.00.HH,46,9.000200971958937e-05
20191224.223336.62-P-CM.URMC.00.HH,2019-12-24 22:33:36.628394,0.9653678,P,CM,URMC,0,HH,PhaseNet,2023-01-18 15:18:55.927426,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_561000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,663,561000,single,CM.URMC.00.HH,47,0.00018371977650998795
20191224.223340.51-S-CM.URMC.00.HH,2019-12-24 22:33:40.518393,0.74728334,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:19:48.590404,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_1281000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2552,1281000,overlap,CM.URMC.00.HH,47,0.00011716417973286477
20191224.223352.50-P-CM.ORTC.00.HH,2019-12-24 22:33:52.508393,0.52037656,P,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:41.240136,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_561000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2251,561000,single,CM.ORTC.00.HH,47,0.00021577998186249594
20191224.223355.30-P-CM.CHI.00.HH,2019-12-24 22:33:55.308393,0.7401497,P,CM,CHI,0,HH,PhaseNet,2023-01-18 15:20:01.903697,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed_1284000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1031,1284000,overlap,CM.CHI.00.HH,47,0.0001537969489727168
20191224.223411.60-S-CM.ORTC.00.HH,2019-12-24 22:34:11.608393,0.4669353,S,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:18.475448,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_1284000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2661,1284000,overlap,CM.ORTC.00.HH,47,0.00018977274686674157
