pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,mseed_start_time,mseed_end_time,sampling_rate,sample,segment,segment_type
20191224.213351.40-S-CM.URMC.0.HH,2019-12-24 21:33:51.408394,0.60761803,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:18:59.765001,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_924000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,641,924000,overlap
20191224.213351.44-S-CM.URMC.0.HH,2019-12-24 21:33:51.448393,0.560712,S,CM,URMC,0,HH,PhaseNet,2023-01-18 15:17:51.990595,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_201000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2145,201000,single
20191224.213355.88-P-CM.PRA.0.HH,2019-12-24 21:33:55.888393,0.93544316,P,CM,PRA,0,HH,PhaseNet,2023-01-18 15:19:58.208217,,,,,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.PRA.00.HHZ__20191224T210000Z__20191224T230000Z.mseed_924000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,1087,924000,overlap
20191224.213356.00-P-CM.ORTC.0.HH,2019-12-24 21:33:56.008393,0.4189116,P,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:09.295520,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_924000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1101,924000,overlap
20191224.213356.00-P-CM.PRA.0.HH,2019-12-24 21:33:56.008393,0.38956916,P,CM,PRA,0,HH,PhaseNet,2023-01-18 15:18:08.667919,,,,,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.PRA.00.HHE__20191224T210000Z__20191224T230000Z.mseed_924000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,1099,924000,overlap
20191224.213358.02-S-CM.ORTC.0.HH,2019-12-24 21:33:58.028393,0.62829494,S,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:09.564253,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_924000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1303,924000,overlap
20191224.213358.12-S-CM.ORTC.0.HH,2019-12-24 21:33:58.128393,0.6312877,S,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:46.467785,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_924000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1313,924000,overlap
20191224.213406.07-S-CM.PRA.0.HH,2019-12-24 21:34:06.078393,0.84872246,S,CM,PRA,0,HH,PhaseNet,2023-01-18 15:19:07.751680,,,,,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.PRA.00.HHN__20191224T210000Z__20191224T230000Z.mseed_204000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,606,204000,single
20191224.213406.16-S-CM.PRA.0.HH,2019-12-24 21:34:06.168393,0.75989944,S,CM,PRA,0,HH,PhaseNet,2023-01-18 15:17:51.842174,,,,,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.PRA.00.HHE__20191224T210000Z__20191224T230000Z.mseed_204000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,615,204000,single
20191224.213406.16-S-CM.PRA.0.HH,2019-12-24 21:34:06.168393,0.5761031,S,CM,PRA,0,HH,PhaseNet,2023-01-18 15:19:51.061373,,,,,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.PRA.00.HHZ__20191224T210000Z__20191224T230000Z.mseed_204000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,615,204000,single
20191224.213409.54-P-CM.GARC.0.HH,2019-12-24 21:34:09.548393,0.30403188,P,CM,GARC,0,HH,PhaseNet,2023-01-18 15:18:08.330773,,,,,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.GARC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_924000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2455,924000,overlap
20191224.213413.06-P-CM.GARC.0.HH,2019-12-24 21:34:13.068393,0.30098626,P,CM,GARC,0,HH,PhaseNet,2023-01-18 15:18:40.720262,,,,,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.GARC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_924000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2807,924000,overlap
20191224.213416.30-S-CM.PRA.0.HH,2019-12-24 21:34:16.308393,0.39639652,S,CM,PRA,0,HH,PhaseNet,2023-01-18 15:19:14.793947,,,,,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.PRA.00.HHN__20191224T210000Z__20191224T230000Z.mseed_927000,2019-12-24 21:00:00.018393,2019-12-24 23:00:00.018393,100.0,129,927000,overlap
20191224.213418.53-P-CM.ORTC.0.HH,2019-12-24 21:34:18.538393,0.701172,P,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:17:52.294697,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_204000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1854,204000,single
20191224.213418.72-P-CM.ORTC.0.HH,2019-12-24 21:34:18.728393,0.5661866,P,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:36.596428,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_204000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1873,204000,single
20191224.213422.72-P-CM.CHI.0.HH,2019-12-24 21:34:22.728393,0.32049012,P,CM,CHI,0,HH,PhaseNet,2023-01-18 15:19:51.643933,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed_204000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2273,204000,single
20191224.213422.80-S-CM.ORTC.0.HH,2019-12-24 21:34:22.808393,0.5019919,S,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:17:52.560223,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_204000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2281,204000,single
20191224.213422.85-S-CM.ORTC.0.HH,2019-12-24 21:34:22.858393,0.6648935,S,CM,ORTC,0,HH,PhaseNet,2023-01-18 15:18:36.881587,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_204000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2286,204000,single
