pick_id,arrival_time,probability,phasehint,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name
20191224.212921.88-S-CM.GARC.00.HH,2019-12-24 21:29:21.888393,0.26,S,CM,GARC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:29:09.178393,2019-12-24 21:29:26.978393,0.36,12.9,2.186667,-75.493167,1999.0,/home/emmanuel/SeisMonitor/out/downloads/GARC/CM.GARC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.212946.97-P-CM.URMC.00.HH,2019-12-24 21:29:46.978393,0.4,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:29:47.098393,2019-12-24 21:29:52.178393,0.42,7.4,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.212950.53-S-CM.URMC.00.HH,2019-12-24 21:29:50.538393,0.23,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:29:47.098393,2019-12-24 21:29:52.178393,0.42,13.5,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213001.22-S-CM.URMC.00.HH,2019-12-24 21:30:01.228393,0.02,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:30:01.148393,2019-12-24 21:30:02.528393,0.13,13.5,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213055.96-P-CM.URMC.00.HH,2019-12-24 21:30:55.968393,0.7,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:30:55.958393,2019-12-24 21:30:59.368393,0.25,5.3,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213133.39-P-CM.URMC.00.HH,2019-12-24 21:31:33.398393,0.85,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:31:33.228393,2019-12-24 21:31:39.188393,0.81,5.3,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213136.85-S-CM.URMC.00.HH,2019-12-24 21:31:36.858393,0.42,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:31:33.228393,2019-12-24 21:31:39.188393,0.81,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed
20191224.213141.93-P-CM.PRA.00.HH,2019-12-24 21:31:41.938393,0.86,P,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:31:41.868393,2019-12-24 21:31:56.008393,0.98,24.2,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
20191224.213148.99-P-CM.ORTC.00.HH,2019-12-24 21:31:48.998393,0.4,P,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:31:48.348393,2019-12-24 21:32:11.818393,0.72,7.3,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed
20191224.213151.83-S-CM.PRA.00.HH,2019-12-24 21:31:51.838393,0.5,S,CM,PRA,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:31:41.868393,2019-12-24 21:31:56.008393,0.98,8.8,3.713833,-74.886167,457.0,/home/emmanuel/SeisMonitor/out/downloads/PRA/CM.PRA.00.HHZ__20191224T210000Z__20191224T230000Z.mseed
