pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,mseed_start_time,mseed_end_time,sampling_rate,sample,segment,segment_type,id,event_idx,prob_gamma
20191224.205041.86-P-CM.URMC.00.HH,2019-12-24 20:50:41.868394,0.9766764,P,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:40.465381,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed_1383000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,2687,1383000,overlap,CM.URMC.00.HH,7,5.201637313177043e-06
20191224.205045.67-S-CM.URMC.00.HH,2019-12-24 20:50:45.678393,0.68737704,S,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:26.328639,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHN__20191224T185959Z__20191224T205959Z.mseed_1386000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,68,1386000,overlap,CM.URMC.00.HH,7,4.428122102475832e-06
20191224.205057.17-P-CM.ORTC.00.HH,2019-12-24 20:50:57.178393,0.9199414,P,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:31.781356,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed_1386000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,1218,1386000,overlap,CM.ORTC.00.HH,7,5.6457404771063765e-06
20191224.205100.15-P-CM.CHI.00.HH,2019-12-24 20:51:00.158394,0.7880272,P,CM,CHI,00,HH,PhaseNet,2023-01-18 22:12:48.856156,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed_1386000,2019-12-24 18:59:59.998394,2019-12-24 20:59:59.998394,100.0,1516,1386000,overlap,CM.CHI.00.HH,7,7.64358984363595e-06
20191224.205116.66-S-CM.ORTC.00.HH,2019-12-24 20:51:16.668393,0.6447981,S,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:26.200291,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHE__20191224T185959Z__20191224T205959Z.mseed_1389000,2019-12-24 18:59:59.998393,2019-12-24 20:59:59.998393,100.0,167,1389000,overlap,CM.ORTC.00.HH,7,8.809264191329742e-06
20191224.211039.82-P-CM.URMC.00.HH,2019-12-24 21:10:39.828394,0.97025,P,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:26.613446,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed_63000,2019-12-24 20:59:59.998394,2019-12-24 22:59:59.998394,100.0,983,63000,single,CM.URMC.00.HH,8,5.201637313177043e-06
20191224.211044.13-S-CM.URMC.00.HH,2019-12-24 21:10:44.138393,0.83103764,S,CM,URMC,00,HH,PhaseNet,2023-01-18 22:12:11.969977,,,,,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.URMC.00.HHE__20191224T205959Z__20191224T225959Z.mseed_783000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2914,783000,overlap,CM.URMC.00.HH,8,4.428122102475832e-06
20191224.211055.15-P-CM.ORTC.00.HH,2019-12-24 21:10:55.158393,0.91862553,P,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:05.301570,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_63000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2516,63000,single,CM.ORTC.00.HH,8,5.6457404771063765e-06
20191224.211056.94-P-CM.CHI.00.HH,2019-12-24 21:10:56.948393,0.8972016,P,CM,CHI,00,HH,PhaseNet,2023-01-18 22:12:32.317916,,,,,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.CHI.00.HHE__20191224T205959Z__20191224T225959Z.mseed_63000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,2695,63000,single,CM.CHI.00.HH,8,7.64358984363595e-06
20191224.211114.84-S-CM.ORTC.00.HH,2019-12-24 21:11:14.848393,0.643916,S,CM,ORTC,00,HH,PhaseNet,2023-01-18 22:12:05.318528,,,,,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/picks/pnet/datadir/CM.ORTC.00.HHN__20191224T205959Z__20191224T225959Z.mseed_66000,2019-12-24 20:59:59.998393,2019-12-24 22:59:59.998393,100.0,1485,66000,single,CM.ORTC.00.HH,8,8.809264191329742e-06
