pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,id,event_idx,prob_gamma
20191224.191550.29-P-CM.URMC.00.HH,2019-12-24 19:15:50.298393,0.75,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:15:50.198393,2019-12-24 19:15:56.538393,0.95,27.0,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,5,0.00011894114273385493
20191224.191550.34-S-CM.CLEJA.10.HN,2019-12-24 19:15:50.340000,0.65,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:15:47.430000,2019-12-24 19:15:51.700000,0.91,5.4,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,5,0.00032551780044517455
20191224.191554.61-S-CM.URMC.00.HH,2019-12-24 19:15:54.618393,0.64,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:15:50.198393,2019-12-24 19:15:56.538393,0.95,14.9,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,5,0.000406905130389544
20191224.191604.90-P-CM.ORTC.00.HH,2019-12-24 19:16:04.908393,0.1,P,CM,ORTC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:16:04.918393,2019-12-24 19:16:06.548393,0.15,18.2,3.909,-75.246,446.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/ORTC/CM.ORTC.00.HHN__20191224T185959Z__20191224T205959Z.mseed,CM.ORTC.00.HH,5,0.0006203639623485591
20191224.191606.76-P-CM.CHI.00.HH,2019-12-24 19:16:06.768394,0.2,P,CM,CHI,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:16:06.578394,2019-12-24 19:16:09.778394,0.13,10.5,4.6295,-73.7371,3140.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CHI/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed,CM.CHI.00.HH,5,0.0007655215316410832
20191224.191622.27-S-CM.CHI.00.HH,2019-12-24 19:16:22.278394,0.05,S,CM,CHI,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:16:08.988394,2019-12-24 19:16:29.028394,0.21,1.0,4.6295,-73.7371,3140.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CHI/CM.CHI.00.HHE__20191224T185959Z__20191224T205959Z.mseed,CM.CHI.00.HH,5,7.80677613353015e-05
20191224.191908.00-P-CM.CLEJA.10.HN,2019-12-24 19:19:08.000000,0.9,P,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:19:07.960000,2019-12-24 19:19:13.490000,0.89,42.7,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,6,8.137991977191389e-05
20191224.191909.68-P-CM.URMC.00.HH,2019-12-24 19:19:09.688393,0.38,P,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.596591,2019-12-24 19:19:09.398393,2019-12-24 19:19:16.038393,0.6,33.1,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,6,0.00011894114273385493
20191224.191911.62-S-CM.CLEJA.10.HN,2019-12-24 19:19:11.620000,0.49,S,CM,CLEJA,10,HN,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:19:07.960000,2019-12-24 19:19:13.490000,0.89,4.6,3.536269,-74.041429,749.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/CLEJA/CM.CLEJA.10.HNE__20191224T190336Z__20191224T210000Z.mseed,CM.CLEJA.10.HN,6,0.00032551780044517455
20191224.191914.02-S-CM.URMC.00.HH,2019-12-24 19:19:14.028393,0.21,S,CM,URMC,00,HH,EQTransformer,2023-05-15 22:12:23.636511,2019-12-24 19:19:09.398393,2019-12-24 19:19:16.038393,0.6,3.8,3.24719,-74.37879,725.0,/home/emmanuel/EDCT/SeisMonitor/6m/downloads/URMC/CM.URMC.00.HHZ__20191224T185959Z__20191224T205959Z.mseed,CM.URMC.00.HH,6,0.000406905130389544
