pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,id,event_idx,prob_gamma
20191224.214436.40-P-CM.URMC.00.HH,2019-12-24 21:44:36.408393,0.86,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:44:36.348393,2019-12-24 21:44:42.008393,0.89,16.8,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,21,1.965125602997957e-06
20191224.214440.02-S-CM.URMC.00.HH,2019-12-24 21:44:40.028393,0.45,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:44:36.348393,2019-12-24 21:44:42.008393,0.89,9.0,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,21,2.4283749093416853e-06
20191224.214453.96-P-CM.ORTC.00.HH,2019-12-24 21:44:53.968393,0.17,P,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:44:52.798393,2019-12-24 21:45:21.038393,0.44,2.0,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,21,8.232169860340049e-06
20191224.214454.01-P-CM.CHI.00.HH,2019-12-24 21:44:54.018393,0.27,P,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:44:54.068393,2019-12-24 21:45:21.938393,0.64,2.9,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.CHI.00.HH,21,1.083986087858577e-05
20191224.214512.55-S-CM.ORTC.00.HH,2019-12-24 21:45:12.558393,0.24,S,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:44:52.798393,2019-12-24 21:45:21.038393,0.44,6.5,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,21,7.70645104884309e-06
20191224.214513.46-S-CM.CHI.00.HH,2019-12-24 21:45:13.468393,0.29,S,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:44:54.068393,2019-12-24 21:45:21.938393,0.64,3.6,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.CHI.00.HH,21,3.2489015124753175e-06
20191224.214907.11-P-CM.URMC.00.HH,2019-12-24 21:49:07.118393,0.25,P,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:49:06.908393,2019-12-24 21:49:15.148393,0.91,8.8,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,22,1.965125602997957e-06
20191224.214912.69-S-CM.URMC.00.HH,2019-12-24 21:49:12.698393,0.65,S,CM,URMC,00,HH,EQTransformer,2023-01-18 10:13:58.564482,2019-12-24 21:49:06.908393,2019-12-24 21:49:15.148393,0.91,11.1,3.24719,-74.37879,725.0,/home/emmanuel/SeisMonitor/out/downloads/URMC/CM.URMC.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.URMC.00.HH,22,2.4283749093416853e-06
20191224.214923.87-P-CM.ORTC.00.HH,2019-12-24 21:49:23.878393,0.77,P,CM,ORTC,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:49:23.788393,2019-12-24 21:49:45.538393,0.98,12.2,3.909,-75.246,446.0,/home/emmanuel/SeisMonitor/out/downloads/ORTC/CM.ORTC.00.HHZ__20191224T205959Z__20191224T225959Z.mseed,CM.ORTC.00.HH,22,8.232169860340049e-06
20191224.214926.30-P-CM.CHI.00.HH,2019-12-24 21:49:26.308393,0.04,P,CM,CHI,00,HH,EQTransformer,2023-01-18 10:13:58.487156,2019-12-24 21:49:25.718393,2019-12-24 21:49:53.828393,0.17,2.5,4.6295,-73.7371,3140.0,/home/emmanuel/SeisMonitor/out/downloads/CHI/CM.CHI.00.HHN__20191224T205959Z__20191224T225959Z.mseed,CM.CHI.00.HH,22,1.083986087858577e-05
